date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:19:39	65831/65831	---M-Z	200	added ('OK')	text/html	etag:%2210127-64d74384-b3de1130d63c6ba3;gz%22	https://themedox.com/demo/madexry/index.html	C:/My%20Web%20Sites/manufacturing/themedox.com/demo/madexry/index.html	(from )
14:19:40	109/109	---M-Z	200	added ('OK')	text/plain	etag:%228286-1717662544;gz%22	https://themedox.com/robots.txt		(from )
14:19:40	2424/2424	---M--	200	added ('OK')	image/png	etag:%22978-64d74389-3bdbdda4db8f1437;;;%22	https://themedox.com/demo/madexry/assets/img/favicon.png	C:/My%20Web%20Sites/manufacturing/themedox.com/demo/madexry/assets/img/favicon.png	(from https://themedox.com/demo/madexry/index.html)
14:19:40	163873/163873	---M-Z	200	added ('OK')	text/css	etag:%2228021-64d74385-7deb253792c9eaf2;gz%22	https://themedox.com/demo/madexry/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/manufacturing/themedox.com/demo/madexry/assets/css/bootstrap.min.css	(from https://themedox.com/demo/madexry/index.html)
14:19:40	68601/68601	---M-Z	200	added ('OK')	text/css	etag:%2210bf9-64d74385-6ecdcadd236b8797;gz%22	https://themedox.com/demo/madexry/assets/css/animate.min.css	C:/My%20Web%20Sites/manufacturing/themedox.com/demo/madexry/assets/css/animate.min.css	(from https://themedox.com/demo/madexry/index.html)
14:19:41	6951/6951	---M-Z	200	added ('OK')	text/css	etag:%221b27-64d74385-4824dd32a9aac19e;gz%22	https://themedox.com/demo/madexry/assets/css/magnific-popup.css	C:/My%20Web%20Sites/manufacturing/themedox.com/demo/madexry/assets/css/magnific-popup.css	(from https://themedox.com/demo/madexry/index.html)
14:19:41	59251/59251	---M-Z	200	added ('OK')	text/css	etag:%22e773-64d74385-1a2480ae73dc315e;gz%22	https://themedox.com/demo/madexry/assets/css/fontawesome-all.min.css	C:/My%20Web%20Sites/manufacturing/themedox.com/demo/madexry/assets/css/fontawesome-all.min.css	(from https://themedox.com/demo/madexry/index.html)
14:19:41	1603/1603	---M-Z	200	added ('OK')	text/css	etag:%22643-64d74385-bf7c997d668dcf3a;gz%22	https://themedox.com/demo/madexry/assets/css/flaticon.css	C:/My%20Web%20Sites/manufacturing/themedox.com/demo/madexry/assets/css/flaticon.css	(from https://themedox.com/demo/madexry/index.html)
14:19:41	3620/3620	---M-Z	200	added ('OK')	text/css	etag:%22e24-64d74385-fdd62d059801d641;gz%22	https://themedox.com/demo/madexry/assets/css/odometer.css	C:/My%20Web%20Sites/manufacturing/themedox.com/demo/madexry/assets/css/odometer.css	(from https://themedox.com/demo/madexry/index.html)
14:19:41	5883/5883	---M-Z	200	added ('OK')	text/css	etag:%2216fb-64d74386-2d8c2e4d20a7aea8;gz%22	https://themedox.com/demo/madexry/assets/css/tg-cursor.css	C:/My%20Web%20Sites/manufacturing/themedox.com/demo/madexry/assets/css/tg-cursor.css	(from https://themedox.com/demo/madexry/index.html)
14:19:42	1784/1784	---M-Z	200	added ('OK')	text/css	etag:%226f8-64d74385-a3e20e0111a02f79;gz%22	https://themedox.com/demo/madexry/assets/css/splitting.css	C:/My%20Web%20Sites/manufacturing/themedox.com/demo/madexry/assets/css/splitting.css	(from https://themedox.com/demo/madexry/index.html)
14:19:42	1776/1776	---M-Z	200	added ('OK')	text/css	etag:%226f0-64d74385-8c337afcd3283caf;gz%22	https://themedox.com/demo/madexry/assets/css/slick.css	C:/My%20Web%20Sites/manufacturing/themedox.com/demo/madexry/assets/css/slick.css	(from https://themedox.com/demo/madexry/index.html)
14:19:42	15562/15562	---M-Z	200	added ('OK')	text/css	etag:%223cca-64d74386-24dc4206422b2669;gz%22	https://themedox.com/demo/madexry/assets/css/swiper-bundle.min.css	C:/My%20Web%20Sites/manufacturing/themedox.com/demo/madexry/assets/css/swiper-bundle.min.css	(from https://themedox.com/demo/madexry/index.html)
14:19:42	8636/8636	---M-Z	200	added ('OK')	text/css	etag:%2221bc-64d74385-bfc48c39f4e15fb;gz%22	https://themedox.com/demo/madexry/assets/css/default.css	C:/My%20Web%20Sites/manufacturing/themedox.com/demo/madexry/assets/css/default.css	(from https://themedox.com/demo/madexry/index.html)
14:19:43	116389/116389	---M-Z	200	added ('OK')	text/css	etag:%221c6a5-64d74386-d9ffb0978ad94ad3;gz%22	https://themedox.com/demo/madexry/assets/css/style.css	C:/My%20Web%20Sites/manufacturing/themedox.com/demo/madexry/assets/css/style.css	(from https://themedox.com/demo/madexry/index.html)
14:19:43	22149/22149	---M-Z	200	added ('OK')	text/css	etag:%225685-64d74385-cb85f08d9b0e9fcf;gz%22	https://themedox.com/demo/madexry/assets/css/responsive.css	C:/My%20Web%20Sites/manufacturing/themedox.com/demo/madexry/assets/css/responsive.css	(from https://themedox.com/demo/madexry/index.html)
